seg_word,count
負責,181
瞭解,180
一致,180
打工,180
奶奶,180
活着,180
全身,179
我該,179
正確,179
依賴,179
瞬間,179
可憐,179
試試看,179
受傷,179
一陣子,179
乖乖,178
增加,178
微笑,177
卻是,177
假裝,177
Soldier,177
順便,177
算了,176
願,176
便宜,176
喵,176
年輕,176
教,176
稍微,175
這輩子,175
二月,175
晚餐,175
自律,175
中心,174
選,174
賺,174
給你,174
忍不住,174
掙扎,174
垃圾,174
剩,174
調撥,174
享受,173
看着,173
做事,173
自私,173
餓,172
紀錄,172
27.105,172
進入,172
必要,172
冬天,172
飲料,171
變好,171
珍惜,171
祈願,171
訴,171
█,171
pmove,171
宗教,171
頭髮,171
禦寇,171
度過,170
狗,170
強迫,170
不算,170
這篇,170
安靜,170
差點,170
兩次,170
適應,170
女兒,169
瘋,169
從早,169
貼,169
吵,168
在乎,168
女,168
洗澡,168
只想,167
元月,167
中國,167
應得,167
爬,167
生理,167
印象,166
反覆,166
抗,166
抽,166
當作,166
天主,166
牠,166
趴,165
店,165
gossiplarry,165
長春,165
擁抱,165
飯,165
量,165
刺激,165
獲得,164
知識,164
班,164
s00azure,164
嗚嗚,164
今日,164
同意,164
拖,163
課程,162
快點,162
前面,162
今晚,162
躁鬱症,162
提供,162
極限,161
復,161
盡量,161
走路,161
莫名其妙,161
英文,161
陣子,161
旅行,161
妹妹,160
性格,160
作用,160
否極泰來,160
餐,160
重複,160
減少,160
死去,160
太多,160
距離,160
換,160
看不到,160
陌生人,160
做好,160
觀察,160
餅哥,159
害,159
黑,159
包,159
賣,159
一片,159
最終,159
第二天,159
一遍,158
化,158
我問,158
脆弱,158
第一個,158
有用,158
好不容易,158
目的,157
道歉,157
求,157
工程,157
愛我,157
傻,157
美夢成真,156
鋼筆,156
爆發,156
對話,156
宿舍,156
交流,156
經濟,155
下雨,155
發洩,155
陽江,155
無助,155
晚,155
br,155
治癒,155
藉口,155
是從,154
號,154
接,154
早點,154
拜託,154
抒發,154
體驗,154
對象,154
專注,154
不去,154
麵,154
騙,153
默默,153
喝咖啡,153
記憶力,153
雲,153
信,153
感動,153
過年,152
煩,152
顆,152
等待,151
傷口,151
恐怖,151
連續,151
很差,151
資格,151
你好,151
哭泣,151
話題,151
並不,151
68.69,150
貓咪,150
⊙,150
強烈,150
夏天,150
網路,150
渴望,150
毆,149
看診,149
實說,149
補充,149
帶給,149
焦慮症,149
三月,149
樂觀,148
帳號,148
時刻,148
逐漸,148
地獄,148
積極,148
否定,148
夜晚,148
道,148
就醫,147
時期,147
拯救,147
標準,147
加班,147
介紹,147
提到,146
注意力,146
想一想,146
盛夏,146
意見,146
愛的,146
作息,146
評論,146
霸凌,146
顏色,146
體力,145
閱讀,145
小希,145
見到,145
克服,144
聯絡,144
寂寞,144
小事,144
有種,144
角度,144
挑戰,144
配合,143
總會,143
表示,143
固定,143
偷,143
squen,143
體重,142
光年,142
🌼,142
那位,142
不爽,142
床,142
庚子年,142
查看,142
矛盾,142
言語,141
說明,141
透過,141
十年,141
急診,141
脾氣,140
複雜,140
好煩,140
兩,140
以下,140
滿意,139
查,139
不住,139
糾結,139
花錢,139
囧,139
做出,139
難以,138
好累,138
男朋友,138
期,138
以外,138
當年,138
答應,138
事件,138
安全感,137
多年,137
徹底,137
煩躁,137
畫面,137
下面,137
🐭,137
追求,136
養,136
太久,136
半個,136
發展,136
tinyurl,136
當成,136
始終,136
愚蠢,136
遠,135
偷偷,135
出生,135
資訊,135
卑微,135
功能,135
苦,135
普通,135
懂得,135
發明,135
我怕,135
味道,135
不太好,134
耐心,134
me,134
早起,134
弟弟,134
非,134
事實上,134
腿,133
無緣無故,133
上帝,133
祂,133
避免,133
不可,133
交,133
一週,133
安陽,133
一下子,133
出國,133
補,133
篇文章,133
低潮,133
四個,133
很煩,132
重,132
之中,132
附近,132
申請,132
強大,132
從前,132
貓,132
死掉,132
因素,132
活在,132
煮,132
時常,132
神奇,132
聰明,131
我連,131
翻,131
份,131
鬼,131
這本,131
劑量,131
一家,131
yehz,131
給了,130
痊癒,130
說真的,130
好事,130
喘,130
解脫,130
做過,129
過度,129
改,129
不好意思,129
好處,129
唸,129
正面,129
耍,129
美國,129
模式,129
公平,129
39.9,128
不給,128
足夠,128
ktta,128
城市,128
愉快,128
懷孕,128
精神疾病,128
醬,128
這條,128
戀愛,127
病房,127
幸好,127
解決問題,127
圖,127
巧克力,127
陳醫師,127
信仰,127
好笑,127
雨,127
認同,127
方便,127
背後,127
睡前,127
坐車,126
全,126
美,126
角色,126
金球,126
試試,126
吞,126
達到,126
神經,126
遺憾,126
口,126
兒子,126
作業,126
寶寶,126
令人,125
要來,125
失控,125
牛奶,125
信心,125
實現,125
合適,125
慶幸,125
人群,125
拿到,125
設計,125
前進,125
心得,125
智商,124
行,124
聽說,124
用藥,124
留言,124
就讓,124
我講,124
全世界,124
乾淨,124
追,124
摸,123
邏輯,123
好難,123
安全,123
幻想,123
上學,123
衝動,123
qqqlisa,123
仔細,123
動物,123
版友,123
利用,123
網路上,122
鞋子,122
飛,122
乾脆,122
心疼,122
來到,122
cinnamoon,122
小說,122
思想,122
開學,122
說不定,122
爆炸,122
🌿,121
計畫,121
項目,121
考上,121
十分,121
忍耐,121
出口,121
本書,121
無奈,121
很久沒,120
Re,120
認知,120
抱抱,120
家裏,120
表情,120
林韋辰,120
唸書,120
責任,120
引起,120
27.247,120
27.242,120
235.122,120
腳,120
結局,120
211.23,120
參考,119
業績,119
欺負,119
陽春,119
遠行,119
互動,119
這份,119
混亂,119
只不過,119
管理,119
安心,119
熟悉,119
酒,119
碰,119
鬱,119
女朋友,118
通知,118
好不好,118
實際,118
還想,118
沮喪,118
感恩,118
爺爺,118
美麗,118
警察,118
有過,117
27.52,117
萬,117
會想,117
ω,117
世上,117
親戚,117
再見,117
禮物,116
缺乏,116
公斤,116
力,116
收,116
對抗,116
′,116
✈,116
念,116
說服,116
走出,116
早春,116
無能,116
作品,116
自卑,115
歡迎,115
起航,115
厭惡,115
218.161,115
一本,115
往往,115
笑容,115
時會,115
訓練,115
幻覺,115
終究,115
回頭,115
調,115
預約,114
手上,114
憤怒,114
第二,114
騎,114
藥效,114
大聲,114
理性,114
危險,114
懶得,114
開口,114
一把,114
辦,113
逃,113
會來,113
八月,113
發呆,113
一秒,113
dora5191,113
